label,platform,region,seller_vendor,detected_brand,core_dairy_category,active_runs,presence_rate_percent,historical_unique_product_count,current_unique_product_count,avg_discount_percent,current_avg_discount_percent,deep_discount_rate_percent,avg_snapp_score_proxy,vendor_strategy_score,vendor_strategy_pattern,product_examples
سوپرمارکت سحر پلاس - یاران دریان (زرگنده) × میهن × شیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت سحر پلاس - یاران دریان (زرگنده),میهن,شیر,2,100.0,1,1,44.0,44.0,100.0,10421.0,77.0,single_sku_deep_discount_push,شیر کاکایو نیم چرب مدت دار میهن 200 میلی لیتری
سوپرمارکت ولیعصر (ولیعصر) × دامداران × شیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت ولیعصر (ولیعصر),دامداران,شیر,2,100.0,1,1,35.0,35.0,100.0,10230.0,72.32,single_sku_deep_discount_push,شیر کاکائو کم چرب تازه دامداران 230 میلی لیتری
هایپراستار باکری ۲ (همواره تخفیف) × کالین × پنیر,snapp_market_party,snapp_market_party_tehran_probe,هایپراستار باکری ۲ (همواره تخفیف),کالین,پنیر,2,100.0,1,1,33.0,33.0,100.0,3280.0,64.65,single_sku_deep_discount_push,پنیر لبنه کالین 300 گرمی
سوپرمارکت سحر پلاس - یاران دریان (زرگنده) × آلیما × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت سحر پلاس - یاران دریان (زرگنده),آلیما,پنیر,2,100.0,1,1,32.0,32.0,100.0,3429.0,64.29,single_sku_deep_discount_push,پنیر چدار نیم چرب اسکویز آلیما 400 گرمی
سوپرمارکت هایپر نفس - یاران دریان (جردن) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت هایپر نفس - یاران دریان (جردن),هراز,پنیر,2,100.0,1,1,31.0,31.0,100.0,3373.0,63.74,single_sku_deep_discount_push,پنیر فتا دوشه هراز 400 گرمی
سوپرمارکت سحر پلاس - یاران دریان (زرگنده) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت سحر پلاس - یاران دریان (زرگنده),هراز,پنیر,2,100.0,1,1,31.0,31.0,100.0,3332.0,63.7,single_sku_deep_discount_push,پنیر فتا دوشه هراز 400 گرمی
سوپرمارکت سحر پلاس - یاران دریان (زرگنده) × کاله × ماست,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت سحر پلاس - یاران دریان (زرگنده),کاله,ماست,2,100.0,1,1,30.0,30.0,100.0,3302.0,63.17,single_sku_deep_discount_push,ماست کم چرب پروبیوتیک لاکتیویا کاله 1.5 کیلوگرمی
هایپراستار باکری ۲ (همواره تخفیف) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,هایپراستار باکری ۲ (همواره تخفیف),هراز,پنیر,2,100.0,2,2,26.5,26.5,0.0,6765.5,54.74,vendor_brand_category_push,پنیر فتا دوشه هراز 400 گرمی | پنیر لاکتیکی هراز (1.1 کیلو گرم)
سوپرمارکت باستان - یاران دریان (ونک) × ماهشام × شیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت باستان - یاران دریان (ونک),ماهشام,شیر,2,100.0,1,1,24.0,24.0,0.0,10153.0,51.74,vendor_watchlist,شیر پرچرب تازه مزرعه ماهشام 945 میلی لیتری
هایپراستار باکری ۲ (همواره تخفیف) × هراز × خامه,snapp_market_party,snapp_market_party_tehran_probe,هایپراستار باکری ۲ (همواره تخفیف),هراز,خامه,2,100.0,1,1,23.0,23.0,0.0,10292.0,51.38,vendor_watchlist,خامه نیم چرب هراز 200 میلی لیتری
هایپراستار باکری ۲ (همواره تخفیف) × کاله × خامه,snapp_market_party,snapp_market_party_tehran_probe,هایپراستار باکری ۲ (همواره تخفیف),کاله,خامه,2,100.0,1,1,21.0,21.0,0.0,10223.0,50.31,vendor_watchlist,خامه پرچرب کاله 200 گرمی
سوپرمارکت پردیس - یاران دریان (ونک) × آلیما × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت پردیس - یاران دریان (ونک),آلیما,پنیر,2,100.0,2,2,20.5,20.5,0.0,3173.0,48.29,vendor_range_presence,پنیر خامه ای میرکا آلیما 200 گرمی | پنیر لبنه خرمایی پرچرب آلیما 250 گرمی
سوپرمارکت پناه (جردن) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت پناه (جردن),هراز,پنیر,2,100.0,2,2,18.5,18.5,0.0,3172.5,47.29,vendor_range_presence,پنیر سفید فتا دوشه کم نمک کم چرب پروبیوتیک هراز 300 گرمی | پنیر فتا دوشه هراز 400 گرمی
سوپرمارکت ایثار - یاران دریان (جردن) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت ایثار - یاران دریان (جردن),هراز,پنیر,2,100.0,1,1,27.0,27.0,0.0,3354.0,46.72,vendor_watchlist,پنیر فتا دوشه هراز 400 گرمی
سوپرمارکت روژان (جردن) × روزانه × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت روژان (جردن),روزانه,پنیر,2,100.0,1,1,25.0,25.0,0.0,3442.0,45.8,vendor_watchlist,پنیر سفید کم چرب روزانه 510 گرمی
سوپرمارکت پناه (جردن) × روزانه × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت پناه (جردن),روزانه,پنیر,2,100.0,1,1,25.0,25.0,0.0,3390.0,45.75,vendor_watchlist,پنیر سفید کم چرب روزانه 510 گرمی
سوپرمارکت ولیعصر (ولیعصر) × روزانه × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت ولیعصر (ولیعصر),روزانه,پنیر,2,100.0,1,1,25.0,25.0,0.0,3388.0,45.75,vendor_watchlist,پنیر سفید کم چرب روزانه 510 گرمی
سوپرمارکت سحر پلاس - یاران دریان (زرگنده) × روزانه × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت سحر پلاس - یاران دریان (زرگنده),روزانه,پنیر,2,100.0,1,1,25.0,25.0,0.0,3356.0,45.72,vendor_watchlist,پنیر سفید کم چرب روزانه 510 گرمی
سوپرمارکت گلدن مارکت (ونک) × روزانه × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت گلدن مارکت (ونک),روزانه,پنیر,2,100.0,1,1,25.0,25.0,0.0,3310.0,45.68,vendor_watchlist,پنیر سفید کم چرب روزانه 210 گرمی
سوپرمارکت روژان (جردن) × کاله × ماست,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت روژان (جردن),کاله,ماست,2,100.0,1,1,21.0,21.0,0.0,3222.0,43.59,vendor_watchlist,ماست پرچرب لاکتیویا کاله 900 گرمی
سوپرمارکت دیدمارکت (جردن) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت دیدمارکت (جردن),هراز,پنیر,2,100.0,1,1,19.0,19.0,0.0,3174.0,42.55,vendor_watchlist,پنیر سفید فتا دوشه کم نمک کم چرب پروبیوتیک هراز 300 گرمی
سوپرمارکت پردیس - یاران دریان (ونک) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت پردیس - یاران دریان (ونک),هراز,پنیر,2,100.0,1,1,19.0,19.0,0.0,3178.0,42.55,vendor_watchlist,پنیر سفید فتا دوشه کم نمک کم چرب پروبیوتیک هراز 300 گرمی
سوپرمارکت روژان (جردن) × هراز × پنیر,snapp_market_party,snapp_market_party_tehran_probe,سوپرمارکت روژان (جردن),هراز,پنیر,2,100.0,1,1,18.0,18.0,0.0,3159.0,42.03,vendor_watchlist,پنیر فتا دوشه هراز 400 گرمی
